iter	Passed	Remaining
0	76	382120
1	174	435700
2	252	421341
3	281	351966
4	345	344937
5	397	331113
6	475	339202
7	540	337534
8	624	346117
9	656	327493
10	711	322761
11	727	302458
12	806	309281
13	849	302689
14	928	308515
15	983	306359
16	1056	309607
17	1125	311502
18	1199	314578
19	1276	317929
20	1360	322556
21	1435	324898
22	1509	326661
23	1589	329623
24	1680	334368
25	1746	334178
26	1819	335112
27	1921	341265
28	1965	336858
29	2048	339354
30	2107	337857
31	2173	337491
32	2216	333656
33	2245	328041
34	2315	328459
35	2388	329317
36	2420	324711
37	2490	325233
38	2566	326480
39	2639	327323
40	2710	327867
41	2792	329598
42	2823	325474
43	2857	321830
44	2947	324565
45	3021	325367
46	3080	324600
47	3149	324956
48	3228	326187
49	3300	326747
50	3324	322614
51	3394	322956
52	3475	324375
53	3545	324741
54	3605	324153
55	3691	325903
56	3777	327568
57	3855	328496
58	3911	327534
59	4004	329696
60	4074	329909
61	4136	329423
62	4199	329112
63	4269	329303
64	4343	329809
65	4407	329531
66	4483	330085
67	4556	330487
68	4617	329969
69	4690	330327
70	4724	328003
71	4765	326166
72	4850	327400
73	4929	328138
74	5005	328702
75	5081	329207
76	5165	330271
77	5238	330554
78	5315	331086
79	5397	331965
80	5449	330931
81	5515	330771
82	5571	330072
83	5588	327039
84	5662	327398
85	5753	328748
86	5806	327905
87	5851	326613
88	5909	326076
89	5980	326261
90	6131	330745
91	6268	334430
92	6391	337220
93	6532	340946
94	6645	343111
95	6775	346116
96	6889	348221
97	7027	351541
98	7156	354267
99	7265	356012
100	7382	358093
101	7513	360775
102	7637	363115
103	7772	365920
104	7836	365330
105	7911	365258
106	7969	364459
107	8037	364088
108	8100	363493
109	8190	364082
110	8260	363820
111	8334	363759
112	8395	363088
113	8477	363326
114	8558	363538
115	8627	363251
116	8700	363107
117	8768	362768
118	8852	363081
119	8922	362859
120	9000	362927
121	9086	363322
122	9172	363708
123	9278	364852
124	9355	364859
125	9446	365406
126	9520	365308
127	9615	366002
128	9692	365982
129	9780	366405
130	9840	365751
131	9903	365243
132	9980	365209
133	10063	365451
134	10134	365222
135	10205	364982
136	10279	364897
137	10355	364838
138	10423	364529
139	10496	364371
140	10564	364060
141	10654	364493
142	10720	364137
143	10804	364363
144	10894	364781
145	10985	365222
146	11062	365219
147	11136	365110
148	11218	365231
149	11272	364477
150	11361	364855
151	11429	364529
152	11498	364284
153	11565	363944
154	11636	363749
155	11707	363522
156	11768	363030
157	11850	363156
158	11919	362905
159	11985	362548
160	12078	363038
161	12147	362781
162	12239	363219
163	12330	363587
164	12414	363772
165	12497	363927
166	12573	363888
167	12648	363796
168	12727	363814
169	12807	363896
170	12885	363885
171	12966	363956
172	13042	363909
173	13110	363629
174	13175	363280
175	13199	361785
176	13276	361760
177	13342	361441
178	13436	361871
179	13515	361919
180	13591	361858
181	13654	361471
182	13735	361546
183	13829	361984
184	13904	361898
185	13980	361826
186	14044	361471
187	14126	361575
188	14198	361430
189	14270	361275
190	14355	361430
191	14445	361735
192	14534	362016
193	14623	362282
194	14637	360674
195	14720	360801
196	14797	360766
197	14853	360228
198	14947	360629
199	15052	361249
200	15118	360961
201	15205	361163
202	15296	361462
203	15371	361374
204	15438	361099
205	15527	361363
206	15612	361510
207	15731	362426
208	15806	362345
209	15882	362283
210	15952	362061
211	16041	362290
212	16109	362056
213	16175	361756
214	16249	361638
215	16327	361614
216	16412	361750
217	16483	361576
218	16594	362272
219	16667	362144
220	16732	361828
221	16823	362083
222	16904	362115
223	16998	362428
224	17066	362190
225	17141	362104
226	17223	362145
227	17313	362365
228	17386	362234
229	17442	361743
230	17523	361769
231	17618	362082
232	17706	362256
233	17799	362533
234	17953	364034
235	18116	365707
236	18245	366679
237	18359	367336
238	18482	368183
239	18614	369192
240	18769	370641
241	18931	372211
242	19071	373338
243	19212	374480
244	19350	375564
245	19395	374816
246	19518	375598
247	19674	376979
248	19789	377583
249	19880	377721
250	19962	377688
251	20047	377724
252	20124	377594
253	20203	377511
254	20269	377173
255	20349	377098
256	20440	377231
257	20465	376158
258	20544	376065
259	20629	376085
260	20710	376044
261	20812	376364
262	20889	376252
263	20961	376038
264	21034	375847
265	21103	375574
266	21182	375492
267	21209	374494
268	21292	374477
269	21378	374521
270	21458	374451
271	21539	374409
272	21610	374194
273	21700	374299
274	21818	374872
275	21891	374699
276	21979	374756
277	21998	373657
278	22092	373825
279	22173	373781
280	22268	373970
281	22318	373403
282	22406	373466
283	22485	373378
284	22565	373325
285	22641	373190
286	22720	373108
287	22791	372890
288	22865	372733
289	22964	372982
290	23059	373144
291	23152	373292
292	23250	373509
293	23330	373447
294	23410	373382
295	23489	373286
296	23572	373277
297	23648	373143
298	23728	373068
299	23811	373040
300	23926	373525
301	24005	373437
302	24080	373291
303	24177	373485
304	24244	373211
305	24340	373375
306	24411	373176
307	24500	373232
308	24590	373309
309	24690	373550
310	24765	373396
311	24832	373127
312	24927	373281
313	25031	373552
314	25116	373561
315	25194	373449
316	25222	372603
317	25307	372606
318	25379	372413
319	25453	372257
320	25547	372387
321	25643	372545
322	25721	372443
323	25812	372535
324	25896	372518
325	25969	372334
326	26069	372551
327	26165	372693
328	26264	372888
329	26358	373011
330	26435	372890
331	26507	372699
332	26596	372753
333	26627	371982
334	26693	371720
335	26775	371673
336	26859	371653
337	26948	371693
338	27050	371927
339	27154	372177
340	27181	371372
341	27253	371190
342	27361	371494
343	27439	371386
344	27536	371546
345	27621	371534
346	27639	370628
347	27703	370334
348	27784	370270
349	27870	370278
350	27957	370292
351	28043	370306
352	28164	370760
353	28198	370090
354	28280	370031
355	28368	370066
356	28465	370208
357	28562	370352
358	28650	370382
359	28661	369419
360	28747	369415
361	28829	369368
362	28916	369386
363	29012	369505
364	29120	369796
365	29211	369856
366	29291	369772
367	29384	369857
368	29489	370096
369	29591	370298
370	29698	370554
371	29865	371551
372	29910	371030
373	30071	371952
374	30215	372663
375	30377	373573
376	30542	374533
377	30696	375336
378	30828	375885
379	30982	376675
380	31117	377243
381	31278	378130
382	31418	378742
383	31583	379656
384	31693	379915
385	31785	379945
386	31883	380043
387	31964	379953
388	32050	379906
389	32144	379960
390	32248	380133
391	32341	380179
392	32418	380029
393	32497	379908
394	32582	379853
395	32678	379924
396	32756	379791
397	32865	380012
398	32954	380006
399	33054	380125
400	33129	379953
401	33221	379979
402	33300	379855
403	33407	380056
404	33507	380167
405	33605	380256
406	33694	380242
407	33778	380171
408	33856	380038
409	33923	379774
410	34009	379727
411	34102	379765
412	34185	379682
413	34271	379639
414	34283	378766
415	34359	378615
416	34442	378537
417	34550	378730
418	34629	378612
419	34723	378655
420	34802	378525
421	34874	378326
422	34977	378470
423	34994	377673
424	35078	377605
425	35152	377434
426	35248	377493
427	35335	377457
428	35429	377499
429	35509	377395
430	35603	377431
431	35687	377364
432	35773	377319
433	35867	377350
434	35954	377311
435	36038	377250
436	36113	377079
437	36201	377060
438	36297	377111
439	36374	376975
440	36407	376371
441	36510	376507
442	36605	376550
443	36696	376553
444	36765	376328
445	36805	375807
446	36886	375714
447	36976	375709
448	37055	375592
449	37154	375675
450	37167	374890
451	37232	374633
452	37320	374600
453	37403	374530
454	37500	374588
455	37587	374555
456	37691	374685
457	37786	374726
458	37876	374717
459	37943	374489
460	38021	374358
461	38124	374482
462	38217	374495
463	38306	374483
464	38388	374387
465	38467	374274
466	38546	374154
467	38571	373521
468	38652	373421
469	38755	373538
470	38822	373304
471	38909	373264
472	38997	373239
473	39087	373226
474	39180	373246
475	39270	373230
476	39352	373151
477	39438	373099
478	39519	373003
479	39632	373209
480	39723	373200
481	39812	373176
482	39897	373121
483	39968	372925
484	40042	372766
485	40118	372621
486	40197	372511
487	40290	372517
488	40378	372489
489	40416	372000
490	40508	372002
491	40592	371935
492	40709	372166
493	40785	372021
494	40880	372051
495	40956	371909
496	40981	371311
497	41061	371205
498	41163	371300
499	41241	371175
500	41316	371023
501	41388	370849
502	41472	370774
503	41561	370759
504	41685	371042
505	41815	371385
506	41985	372075
507	42132	372553
508	42248	372763
509	42388	373183
510	42518	373511
511	42571	373169
512	42722	373673
513	42868	374142
514	43000	374477
515	43030	373927
516	43153	374193
517	43270	374395
518	43414	374840
519	43545	375163
520	43609	374911
521	43689	374791
522	43700	374090
523	43767	373857
524	43880	374029
525	43958	373900
526	44033	373741
527	44119	373681
528	44194	373524
529	44271	373386
530	44341	373190
531	44430	373145
532	44512	373055
533	44590	372923
534	44678	372873
535	44744	372644
536	44851	372757
537	44942	372740
538	45025	372654
539	45103	372517
540	45182	372403
541	45277	372410
542	45363	372349
543	45434	372161
544	45502	371954
545	45577	371799
546	45650	371630
547	45742	371617
548	45813	371429
